term_a,term_b,count,npmi
contract,diaphragm,23,0.39258696917709324
sphincter,weaken,13,0.3923693211413156
myotomy,round of botox,12,0.39229116139675035
100 unit,unit,23,0.39227408714985734
antacid,simethicone,16,0.39213260897819413
fear of vomit,vomit,121,0.3920612615479753
esophageal sphincter,sphincter,11,0.3920209000070742
core,tension,12,0.3918995006268647
fear,irrational fear,11,0.39149749967320735
heartburn,silent reflux,28,0.39114685675349975
dysfunction,upper esophageal sphincter,18,0.3907248247366993
50 unit,dosage,29,0.3903048389958034
test,testing,94,0.38979585672149325
anesthesia,go under anesthesia,14,0.3897509448686797
appeal,cover,33,0.38974884064222853
alcohol,drink,283,0.38939455420043556
beer,carbonated,48,0.38913850734807914
insurance company,provider,10,0.3889289621248686
neck,neck muscle,30,0.3886387668119631
aetna,cover,16,0.38857610734586484
emetophobia,fear,153,0.3880691235104327
call your insurance,insurance,12,0.38773158918383116
one test,test,10,0.38737601475681777
muscle,strengthen,44,0.3872248702754487
ent,specialty,21,0.3867794811115102
drink,wine,120,0.38656501735544363
neck,neck and throat,10,0.38638541150808536
general anaesthetic,in office procedure,23,0.3862232568977508
les,strengthen,18,0.3860971979247853
30 unit,dose,20,0.3859154212153687
co pay,insurance,12,0.3846340391496239
alcohol,drink alcohol,36,0.38405931956798306
gi doctor,gi issue,13,0.3840106480958998
fee,hospital,35,0.3838639537957908
actual vomit,air vomit,30,0.38346527212583525
anaesthetic,in office procedure,20,0.3830419236086919
condition,cpd report,12,0.38247390724424785
cost,insurance cover,48,0.3824266769502206
acid reflux,develop acid reflux,12,0.3824050953455752
chest,tightness,59,0.38184626724525544
hiccup,single hiccup,13,0.3818262681830185
gaviscon,omeprazole,26,0.38160526238256903
anesthesia,surgical center,11,0.3811835414914804
deny,insurance,42,0.381160613400857
milk,tea,12,0.38042858525648876
self cure,shaker,15,0.3804004185148175
dose,first dose,45,0.3803999458633289
biopsy,endoscopy,15,0.38016686996014815
massage,stretche,12,0.3798628413738318
antacid,gaviscon,23,0.3797716442387019
cover,private health,10,0.37934119549460366
round,round of botox,30,0.3790758666260691
jaw,larynx,22,0.3789138175426354
air vomit,regular vomit,11,0.3781155398797822
authorization,cover,17,0.37804699486822363
insurance,uhc,10,0.37788427127471835
gaviscon,tum,19,0.37761418922071516
hmo,insurance,15,0.37724434106321864
gag,gag reflex,75,0.37723659130566317
gag,sensitive gag reflex,20,0.37719501677224154
beer,chugg,32,0.37718139493285824
alcohol,stop drink,15,0.3770207082423063
insurance,pocket cost,13,0.376928674053737
ceiling,neck,16,0.3769049569442219
acid reflux,cause acid reflux,17,0.3767109657152252
cough,cough really,12,0.3765559184294909
cover,submit,23,0.37622518146484696
ph test,test,15,0.37616168033607744
air vomit,liquid vomit,13,0.3758419671065549
kaiser,pcp,12,0.37563941897373904
cover,ppo,14,0.3750175439354948
